Name,Monthly visitors,Main product type(s) sold,Marketplace domain,How to sell
Payhip marketplace,6412000,Mixed digital & physical,www.payhip.com/marketplace,www.payhip.com/auth/register
Google shopping tab,84170000000,Mixed digital & physical,www.google.com/shopping | www.google.co.uk/shopping | www.google.fr/shopping | www.google.de/shopping etc...,"List products on your store (e.g. Shopify, Wix, Squarespace) then submit through Google Merchant Center Next"
Pinterest shopping,1453000000,Mixed digital & physical,pinterest.com/search/buyable_pins,business.pinterest.com/verified-merchant-program
Etsy,524000000,Mixed digital & physical,www.etsy.com,Sign up with link in description for 40 free listings
Shop,285700000,Mixed digital & physical,shop.app,www.shopify.com/store-signup then turn on 'shop' sales channel on your products
Gumroad marketplace,16730000,Mixed digital & physical,gumroad.com/discover,gumroad.com/signup
E-junkie,8000,Mixed digital,market.e-junkie.com/marketplace,www.e-junkie.com/ej/dashboard
Vecteezy,24260000,Mixed graphic assets (focus on vector designs),www.vecteezy.com,www.vecteezy.com/contributors
Creative fabrica,10840000,Mixed graphic assets,www.creativefabrica.com,www.creativefabrica.com/open-store
Creative market,2932000,Mixed graphic assets,creativemarket.com,creativemarket.com/sell
Icons8,2544000,Mixed graphic assets,icons8.com | icons8.de | icons8.ru | etc...,icons8.com/contributors
Icon Scout,1581000,Mixed graphic assets,iconscout.com,iconscout.com/become-contributor
Graphic River (Envato Marketplace),958744,Mixed graphic assets,graphicriver.net,author.envato.com
Brusheezy (Vecteezy),899719,Photoshop brushes & templates,www.brusheezy.com,www.vecteezy.com/contributors
UI8,728009,Mixed graphic assets,ui8.net,ui8.net/authors
YouWorkForThem,484924,Mixed graphic assets,www.youworkforthem.com,www.youworkforthem.com/explore/sell-fonts-graphics-marketplace
Craftwork Design Assets,189212,Mixed graphic assets,craftwork.design,craftwork.design/become-an-author
Logo Ground,129644,Logos,www.logoground.com,www.logoground.com/designers.php
Master Bundles,128277,Mixed graphic assets,masterbundles.com,masterbundles.com/sell-your-deal
Patternbank,66912,Patterns (JPG/PNG/PSD),patternbank.com,patternbank.com/sell-your-designs
MyFonts,8386000,Fonts,www.myfonts.com | www.monotype.com,www.monotype.com/foundries
Fontspring,1209000,Fonts,https://www.fontspring.com,www.fontspring.com/account/foundries/info
Freepik,110500000,Mixed stock & assets,www.freepik.com,contributor.freepik.com
Shutterstock,73120000,Mixed stock,www.shutterstock.com,submit.shutterstock.com
Adobe Stock,40550000,Mixed stock,stock.adobe.com,contributor.stock.adobe.com
iStockPhoto,33860000,Mixed stock,www.istockphoto.com,www.istockphoto.com/workwithus
Dreamstime,22120000,Mixed stock,www.dreamstime.com,www.dreamstime.com/sell-stock-photos-images
Getty images,19270000,Mixed stock,www.gettyimages.co.uk | www.gettyimages.com | www.gettyimages.de etc...,www.gettyimages.co.uk/workwithus
Alamy,14480000,Mixed stock,www.alamy.com,www.alamy.com/registration/contributor-signup.aspx
123rf,8546000,Mixed stock,www.123rf.com,www.123rf.com/contributors
Depositphotos (Vistaprint),8088000,Mixed stock,depositphotos.com,depositphotos.com/contributors.html
Motion Array,3686000,Mixed stock,motionarray.com,motionarray.com/become-a-producer
500px,2488000,Mixed stock,500px.com,500px.com/licensing/contribute
Pond5 (Shutterstock),2298000,Mixed stock,www.pond5.com,https://submit.shutterstock.com
Storyblocks,2116000,Mixed stock,www.storyblocks.com,contribute.storyblocks.com
Pixels,1216000,Mixed stock,pixels.com,pixels.com/sell-art-online
Videohive (Envato Marketplace),1065000,Mixed stock,videohive.net,author.envato.com
Videezy (Vecteezy),990530,Mixed stock,www.videezy.com,www.vecteezy.com/contributors
Wirestock,906037,Mixed stock & assets,wirestock.io,wirestock.io/creators
Motion Elements,866618,Mixed stock & assets,www.motionelements.com,www.motionelements.com/contributors
Stocksy,471138,Mixed stock,www.stocksy.com,www.stocksy.com/cta/welcome
Photodune (Envato Marketplace),81954,Mixed stock & mockups,photodune.net,author.envato.com
BandCamp,34140000,Digital and physical music records by professional musicians,bandcamp.com/,bandcamp.com/signup
Beatstars,3835000,Music & sound kits,www.beatstars.com/,www.beatstars.com/pricing
Audiojungle (Envato Marketplace),1030000,Music & sound kits,audiojungle.net/,author.envato.com/
Airbit,234690,Beats,airbit.com,airbit.com/sell-beats
Payhip marketplace,6412000,Mixed digital & physical,www.payhip.com/marketplace,www.payhip.com/auth/register
Apple books,Unknown (Est. 10M+),Self published ebooks & audiobooks,www.apple.com/apple-books/,authors.apple.com/publish
Amazon KDP & ACX,3077000000,"Kindle self published ebooks, print on demand books, audiobooks via audible ACX",amazon.com | amazon.co.uk | amazon.fr | amazon.de | etc...,kdp.amazon.com/ | www.acx.com/
Google play books,1139000000,Self published ebooks & audiobooks,play.google.com/store/books/,play.google.com/books/publish/u/0/
Barnes & Noble press,27000000,Self published ebooks & audiobooks,www.barnesandnoble.com/,press.barnesandnoble.com/
Kobo,8085000,ebooks & audiobooks,www.kobo.com/,www.kobo.com/gb/en/p/writinglife
Drivethru RPG,1978000,gaming related ebooks & downloads,www.drivethrurpg.com/,legacy.drivethrurpg.com/join.php
Lulu Bookstore,1685000,ebooks & print on demand books,www.lulu.com/shop,www.lulu.com/sell/sell-on-your-site
Blurb Bookstore,717730,self published ebooks & print on demand books,www.blurb.co.uk/bookstore | www.blurb.com/bookstore,www.blurb.co.uk/self-publish
Leanpub,396235,self published ebooks & online courses,eanpub.com/,leanpub.com/authors/create/book
Magcloud shop,222671,self published magazines,www.magcloud.com/shop,www.magcloud.com/create
Wargamevault,169632,war game related downloads,www.wargamevault.com/,site.wargamevault.com/join.php
Bookbaby,53653,self published ebooks & print on demand paperback books,store.bookbaby.com,www.bookbaby.com/sell-your-book
Drivethru Comics,51788,digital & physical comics,www.drivethrucomics.com/,site.drivethrucomics.com/join.php
Drivethru Fiction,27294,digital & physical fiction writing,www.drivethrufiction.com,www.drivethrufiction.com/join.php
Notion Template Marketplace,17830000,Notion templates,www.notion.com/templates,"Scroll to bottom of marketplace, click ""get started"" under ""become a creator"""
Placeit,1382000,Mockups,placeit.net/,author.envato.com/
Mockup World,792334,Mockups,www.mockupworld.co/,www.mockupworld.co/sell-mockups/
Slideegg,774163,Presentation slides,www.slideegg.com/,www.slideegg.com/contributor
